country,sat
CH,4.75
CH,5.08300018310547
CH,4.83300018310547
CH,4.66699981689453
CH,5
CH,3.91700005531311
CH,4
CH,4.66699981689453
CH,3.83299994468689
CH,5.08300018310547
CH,5.33300018310547
CH,2.66700005531311
CH,4.83300018310547
CH,5.41699981689453
CH,1.91700005531311
CH,3.91700005531311
CH,4
CH,4
CH,4.58300018310547
CH,3.25
CH,4.75
CH,3.25
CH,5
CH,3.58299994468689
CH,2.91700005531311
CH,3.08299994468689
CH,4.16699981689453
CH,3.91700005531311
CH,2.25
CH,4.91699981689453
CH,2.33299994468689
CH,4.83300018310547
CH,4
CH,4.75
CH,3.08299994468689
CH,4.83300018310547
CH,4.08300018310547
CH,3.91700005531311
CH,5
CH,4.16699981689453
CH,4.83300018310547
CH,2.16700005531311
CH,3.16700005531311
CH,4.33300018310547
CH,2.75
CH,3.25
CH,3.83299994468689
CH,3.25
CH,4.41699981689453
CH,3.58299994468689
CH,3.16700005531311
CH,2.5
CH,4.91699981689453
CH,4.66699981689453
CH,3.66700005531311
CH,5.58300018310547
CH,4.75
CH,4.83300018310547
CH,5.58300018310547
CH,3.66700005531311
CH,4.91699981689453
CH,3
CH,4.83300018310547
CH,4.41699981689453
CH,4.58300018310547
CH,4.16699981689453
CH,1.91700005531311
CH,4.41699981689453
CH,5
CH,3.25
CH,4.91699981689453
CH,3.91700005531311
CH,4.5
CH,3.91700005531311
CH,4.08300018310547
CH,5.08300018310547
CH,3.83299994468689
CH,3.41700005531311
CH,3.58299994468689
CH,5.66699981689453
CH,4.75
CH,5.33300018310547
CH,4.83300018310547
CH,3.58299994468689
CH,4.33300018310547
CH,4.41699981689453
CH,3.41700005531311
CH,4
CH,2.41700005531311
CH,4.66699981689453
CH,4.41699981689453
CH,4.41699981689453
CH,3.66700005531311
CH,4.33300018310547
CH,3.83299994468689
CH,4.33300018310547
CH,2.41700005531311
CH,3.33299994468689
CH,4.16699981689453
CH,3.08299994468689
CH,4.75
CH,3.5
CH,4.66699981689453
CH,2.91700005531311
CH,4.91699981689453
CH,4.83300018310547
CH,5.25
CH,5.08300018310547
CH,5.08300018310547
CH,5.16699981689453
CH,4.83300018310547
CH,4.41699981689453
CH,5.5
CH,4.58300018310547
CH,5.58300018310547
CH,4.66699981689453
CH,4.83300018310547
CH,5.33300018310547
CH,5.33300018310547
CH,2.41700005531311
CH,2.75
ME,3.75
ME,3.75
ME,4
ME,5
ME,4.16699981689453
ME,4.25
ME,4.41699981689453
ME,4.75
ME,4.25
ME,3.75
ME,4.16699981689453
ME,4.16699981689453
ME,4.25
ME,5.16699981689453
ME,4.75
ME,1.25
ME,4.66699981689453
ME,5
ME,5.33300018310547
ME,4.08300018310547
ME,5.16699981689453
ME,6
ME,5.75
ME,4.66699981689453
ME,4.5
ME,3.75
ME,4.33300018310547
ME,4.75
ME,3.5
ME,5.16699981689453
ME,3.91700005531311
ME,4.08300018310547
ME,3.41700005531311
ME,3.58299994468689
ME,4.91699981689453
ME,5.58300018310547
ME,4.91699981689453
ME,3.5
ME,3.25
ME,4.75
ME,3.83299994468689
ME,4.16699981689453
ME,5.08300018310547
ME,4
ME,5
ME,4.83300018310547
ME,4.66699981689453
ME,1.41700005531311
ME,4.5
ME,2.91700005531311
ME,4.83300018310547
ME,3.41700005531311
ME,4.58300018310547
ME,4.41699981689453
ME,5
ME,4.41699981689453
ME,4.58300018310547
ME,5.08300018310547
ME,3.16700005531311
ME,4.83300018310547
ME,4.66699981689453
ME,5.33300018310547
ME,5.08300018310547
ME,3.25
ME,5.58300018310547
ME,4.5
ME,4.91699981689453
ME,4.58300018310547
ME,4.83300018310547
ME,3.58299994468689
ME,5
ME,5
ME,4.58300018310547
ME,5.25
ME,5.5
ME,4
ME,5
ME,5.25
ME,3.83299994468689
ME,5.08300018310547
ME,4.75
ME,4.91699981689453
ME,5.08300018310547
ME,5.66699981689453
ME,4.66699981689453
ME,4.08300018310547
ME,4.83300018310547
ME,3.83299994468689
ME,3.83299994468689
ME,4.66699981689453
ME,2.41700005531311
ME,3.5
ME,5.41699981689453
ME,5
ME,1.75
ME,3.08299994468689
ME,5.33300018310547
ME,4.91699981689453
ME,3.33299994468689
ME,3.5
ME,3.83299994468689
ME,4.58300018310547
ME,3.5
ME,3.58299994468689
ME,5.08300018310547
ME,5.25
ME,5.5
ME,5.41699981689453
ME,5.66699981689453
ME,4.5
ME,4.33300018310547
SP,4.66699981689453
SP,3.91700005531311
SP,4.58300018310547
SP,4.25
SP,4.33300018310547
SP,4.25
SP,2.83299994468689
SP,4
SP,3.66700005531311
SP,3.5
SP,4.5
SP,5.08300018310547
SP,3.83299994468689
SP,2.91700005531311
SP,4.08300018310547
SP,5
SP,3.91700005531311
SP,4.58300018310547
SP,4.58300018310547
SP,3.58299994468689
SP,4.58300018310547
SP,3.58299994468689
SP,4.66699981689453
SP,5.08300018310547
SP,4.75
SP,6
SP,3.33299994468689
SP,5.25
SP,5.08300018310547
SP,2.5
SP,4.5
SP,3.25
SP,3.25
SP,4.91699981689453
SP,4.33300018310547
SP,4.08300018310547
SP,4.83300018310547
SP,3.16700005531311
SP,3.25
SP,4.66699981689453
SP,5.16699981689453
SP,5
SP,5.41699981689453
SP,2.08299994468689
SP,4
SP,4.66699981689453
SP,4.16699981689453
SP,4.41699981689453
SP,4.41699981689453
SP,3.5
SP,2.91700005531311
SP,3.5
SP,5.33300018310547
SP,3.33299994468689
SP,3.41700005531311
SP,3.83299994468689
SP,3.58299994468689
SP,3
SP,4.58300018310547
SP,3.83299994468689
SP,2.91700005531311
SP,3.58299994468689
SP,2.5
SP,4.33300018310547
SP,4.5
SP,5.16699981689453
SP,4.75
SP,3.41700005531311
SP,3.41700005531311
SP,4.08300018310547
SP,4
SP,4.41699981689453
SP,5.25
SP,4.25
SP,4.41699981689453
SP,4
SP,3.16700005531311
SP,3.66700005531311
SP,2.83299994468689
SP,4.41699981689453
SP,4
SP,4.08300018310547
SP,4.16699981689453
SP,3.58299994468689
SP,3.5
SP,4.41699981689453
SP,4.83300018310547
SP,3.91700005531311
SP,3.75
SP,5.33300018310547
SP,4.91699981689453
SP,3.83299994468689
SP,5
SP,5.83300018310547
SP,4.25
SP,3.41700005531311
SP,4.41699981689453
SP,4.5
