salary,market
38361.74609375,0.720000028610229
68906,1
55979,1.03999996185303
61008,1.24000000953674
42977,0.990000009536743
51640,0.990000009536743
42034,0.790000021457672
31000,0.879999995231628
45584,0.959999978542328
35782,0.990000009536743
63167,0.959999978542328
66032,0.889999985694885
48168,0.839999973773956
38935,0.910000026226044
75353,1.24000000953674
64794.59765625,0.920000016689301
79002,0.990000009536743
63155,1.33000004291534
54701,0.990000009536743
44319,0.779999971389771
30001,0.769999980926514
54464,0.990000009536743
47344,1.21000003814697
65704,0.759999990463257
48681,1.04999995231628
53248,0.740000009536743
39461,0.850000023841858
43958,0.810000002384186
96156,1.19000005722046
37000,0.779999971389771
41563,0.920000016689301
32000,0.850000023841858
46292,1.13999998569489
37000,1
68894,0.990000009536743
53103,1.23000001907349
56289,0.779999971389771
53187,0.779999971389771
33680,0.850000023841858
52996,0.839999973773956
55978.1953125,0.759999990463257
36869,0.850000023841858
37242,0.990000009536743
56252,0.730000019073486
59835,0.800000011920929
56419,1
66746,1.0900000333786
45669,0.730000019073486
36833,0.889999985694885
30927,0.790000021457672
54296,1.01999998092651
43695,0.930000007152557
48065,1.21000003814697
57965.1171875,1.12999999523163
30000,0.779999971389771
52009,0.850000023841858
55227,1.23000001907349
53665,0.920000016689301
54423,1.0900000333786
36833,0.839999973773956
61812,1.01999998092651
33680,0.920000016689301
40356,0.779999971389771
37359,0.850000023841858
75365,1.13999998569489
40465,0.910000026226044
38410,0.920000016689301
51199,0.930000007152557
52034,0.850000023841858
36515,0.810000002384186
56687,0.850000023841858
34000,0.779999971389771
33680,0.850000023841858
35257,0.850000023841858
50729,0.850000023841858
40957,0.920000016689301
61218,1.01999998092651
70101.78125,0.889999985694885
44463,1
30000,0.810000002384186
36308,0.870000004768372
62276,0.769999980926514
56055,0.930000007152557
34468,0.850000023841858
48473,0.839999973773956
40512,1
49252,0.889999985694885
40066,0.879999995231628
60892,0.949999988079071
51126,0.910000026226044
40512,1.03999996185303
53010,0.850000023841858
51943,0.870000004768372
41045,0.920000016689301
61453,1.21000003814697
67339,1.13999998569489
56000,1.19000005722046
44813,1
55923,0.779999971389771
29500,0.790000021457672
34731,0.910000026226044
33680,0.879999995231628
63357,0.920000016689301
62173,1.12999999523163
45032,0.850000023841858
39771.16015625,0.810000002384186
53003,0.769999980926514
35317,0.860000014305115
33154,0.790000021457672
45831,0.790000021457672
58949,1.23000001907349
55039,0.850000023841858
34206,0.879999995231628
48531,0.810000002384186
61988,1.21000003814697
54686,0.910000026226044
64918,0.910000026226044
37615,0.920000016689301
57779,1.19000005722046
29000,0.779999971389771
39924,0.930000007152557
37500,0.730000019073486
51954,0.740000009536743
36833,0.920000016689301
44225,1.04999995231628
41037,1.12999999523163
37733,0.920000016689301
74246,0.990000009536743
63500,1.24000000953674
58000,1.24000000953674
48921,0.990000009536743
